iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,3,10,50,450,1,1782646360345
1,3,10,50,450,2,1782646361378
1,3,10,50,450,3,1782646362628
1,3,10,50,450,4,1782646363624
1,3,10,50,450,5,1782646364711
1,3,10,50,450,6,1782646365528
1,3,10,50,450,7,1782646366344
1,3,10,50,450,8,1782646367195
1,3,10,50,450,9,1782646368223
1,3,10,50,450,10,1782646369356
1,3,10,100,250,1,1782646370040
1,3,10,100,250,2,1782646370674
1,3,10,100,250,3,1782646371390
1,3,10,100,250,4,1782646372244
1,3,10,100,250,5,1782646373094
1,3,10,100,250,6,1782646373756
1,3,10,100,250,7,1782646374295
1,3,10,100,250,8,1782646374944
1,3,10,100,250,9,1782646375540
1,3,10,100,250,10,1782646376127
1,3,10,150,250,1,1782646376907
1,3,10,150,250,2,1782646377474
1,3,10,150,250,3,1782646378123
1,3,10,150,250,4,1782646378661
1,3,10,150,250,5,1782646379407
1,3,10,150,250,6,1782646379961
1,3,10,150,250,7,1782646380944
1,3,10,150,250,8,1782646381544
1,3,10,150,250,9,1782646382027
1,3,10,150,250,10,1782646382627
1,3,10,150,450,1,1782646383290
1,3,10,150,450,2,1782646383962
1,3,10,150,450,3,1782646384628
1,3,10,150,450,4,1782646385244
1,3,10,150,450,5,1782646385960
1,3,10,150,450,6,1782646386573
1,3,10,150,450,7,1782646387144
1,3,10,150,450,8,1782646387727
1,3,10,150,450,9,1782646388477
1,3,10,150,450,10,1782646389194
1,3,10,50,250,1,1782646390040
1,3,10,50,250,2,1782646390811
1,3,10,50,250,3,1782646391856
1,3,10,50,250,4,1782646392728
1,3,10,50,250,5,1782646393540
1,3,10,50,250,6,1782646394211
1,3,10,50,250,7,1782646395077
1,3,10,50,250,8,1782646395695
1,3,10,50,250,9,1782646396410
1,3,10,50,250,10,1782646397327
1,3,10,150,350,1,1782646397960
1,3,10,150,350,2,1782646398589
1,3,10,150,350,3,1782646399427
1,3,10,150,350,4,1782646400022
1,3,10,150,350,5,1782646400843
1,3,10,150,350,6,1782646401540
1,3,10,150,350,7,1782646402127
1,3,10,150,350,8,1782646402773
1,3,10,150,350,9,1782646403527
1,3,10,150,350,10,1782646404373
1,3,10,100,450,1,1782646405279
1,3,10,100,450,2,1782646406712
1,3,10,100,450,3,1782646407606
1,3,10,100,450,4,1782646408273
1,3,10,100,450,5,1782646409139
1,3,10,100,450,6,1782646409993
1,3,10,100,450,7,1782646410623
1,3,10,100,450,8,1782646411256
1,3,10,100,450,9,1782646411893
1,3,10,100,450,10,1782646412760
1,3,10,50,350,1,1782646413573
1,3,10,50,350,2,1782646414426
1,3,10,50,350,3,1782646415289
1,3,10,50,350,4,1782646415956
1,3,10,50,350,5,1782646417106
1,3,10,50,350,6,1782646417956
1,3,10,50,350,7,1782646418856
1,3,10,50,350,8,1782646419595
1,3,10,50,350,9,1782646420511
1,3,10,50,350,10,1782646421310
1,3,10,100,350,1,1782646421992
1,3,10,100,350,2,1782646422689
1,3,10,100,350,3,1782646423322
1,3,10,100,350,4,1782646424376
1,3,10,100,350,5,1782646424943
1,3,10,100,350,6,1782646425611
1,3,10,100,350,7,1782646426422
1,3,10,100,350,8,1782646427839
1,3,10,100,350,9,1782646428539
1,3,10,100,350,10,1782646429309
2,3,10,100,250,1,1782646430055
2,3,10,100,250,2,1782646430709
2,3,10,100,250,3,1782646431456
2,3,10,100,250,4,1782646432179
2,3,10,100,250,5,1782646432727
2,3,10,100,250,6,1782646433755
2,3,10,100,250,7,1782646434338
2,3,10,100,250,8,1782646435188
2,3,10,100,250,9,1782646436049
2,3,10,100,250,10,1782646436726
2,3,10,100,350,1,1782646437222
2,3,10,100,350,2,1782646438126
2,3,10,100,350,3,1782646438783
2,3,10,100,350,4,1782646439882
2,3,10,100,350,5,1782646440649
2,3,10,100,350,6,1782646441620
2,3,10,100,350,7,1782646442498
2,3,10,100,350,8,1782646443177
2,3,10,100,350,9,1782646443777
2,3,10,100,350,10,1782646444410
2,3,10,150,450,1,1782646444993
2,3,10,150,450,2,1782646445643
2,3,10,150,450,3,1782646446277
2,3,10,150,450,4,1782646446827
2,3,10,150,450,5,1782646447527
2,3,10,150,450,6,1782646448127
2,3,10,150,450,7,1782646448683
2,3,10,150,450,8,1782646449314
2,3,10,150,450,9,1782646449882
2,3,10,150,450,10,1782646450764
2,3,10,150,350,1,1782646451497
2,3,10,150,350,2,1782646452110
2,3,10,150,350,3,1782646452827
2,3,10,150,350,4,1782646453547
2,3,10,150,350,5,1782646454227
2,3,10,150,350,6,1782646454782
2,3,10,150,350,7,1782646455297
2,3,10,150,350,8,1782646456014
2,3,10,150,350,9,1782646456531
2,3,10,150,350,10,1782646457177
2,3,10,50,250,1,1782646458064
2,3,10,50,250,2,1782646458982
2,3,10,50,250,3,1782646460064
2,3,10,50,250,4,1782646460860
2,3,10,50,250,5,1782646461747
2,3,10,50,250,6,1782646462331
2,3,10,50,250,7,1782646462897
2,3,10,50,250,8,1782646463549
2,3,10,50,250,9,1782646464444
2,3,10,50,250,10,1782646465397
2,3,10,50,350,1,1782646466427
2,3,10,50,350,2,1782646467181
2,3,10,50,350,3,1782646467881
2,3,10,50,350,4,1782646468631
2,3,10,50,350,5,1782646469398
2,3,10,50,350,6,1782646470298
2,3,10,50,350,7,1782646471065
2,3,10,50,350,8,1782646472047
2,3,10,50,350,9,1782646473877
2,3,10,50,350,10,1782646474731
2,3,10,50,450,1,1782646475560
2,3,10,50,450,2,1782646478481
2,3,10,50,450,3,1782646479180
2,3,10,50,450,4,1782646479926
2,3,10,50,450,5,1782646480809
2,3,10,50,450,6,1782646481710
2,3,10,50,450,7,1782646482409
2,3,10,50,450,8,1782646483263
2,3,10,50,450,9,1782646484247
2,3,10,50,450,10,1782646485030
2,3,10,150,250,1,1782646485846
2,3,10,150,250,2,1782646486781
2,3,10,150,250,3,1782646487426
2,3,10,150,250,4,1782646487909
2,3,10,150,250,5,1782646488410
2,3,10,150,250,6,1782646488897
2,3,10,150,250,7,1782646489563
2,3,10,150,250,8,1782646490081
2,3,10,150,250,9,1782646490597
2,3,10,150,250,10,1782646491197
2,3,10,100,450,1,1782646492048
2,3,10,100,450,2,1782646492580
2,3,10,100,450,3,1782646493246
2,3,10,100,450,4,1782646493813
2,3,10,100,450,5,1782646494414
2,3,10,100,450,6,1782646495263
2,3,10,100,450,7,1782646496093
2,3,10,100,450,8,1782646496926
2,3,10,100,450,9,1782646497813
2,3,10,100,450,10,1782646498780
