iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
1,2,10,150,250,1,1782829681676,mouse,150
1,2,10,150,250,2,1782829682514,mouse,150
1,2,10,150,250,3,1782829683284,mouse,150
1,2,10,150,250,4,1782829683989,mouse,150
1,2,10,150,250,5,1782829684818,mouse,150
1,2,10,150,250,6,1782829685790,mouse,150
1,2,10,150,250,7,1782829686643,mouse,150
1,2,10,150,250,8,1782829687517,mouse,150
1,2,10,150,250,9,1782829688564,mouse,150
1,2,10,150,250,10,1782829689313,mouse,150
1,2,10,100,350,1,1782829690475,mouse,150
1,2,10,100,350,2,1782829691147,mouse,150
1,2,10,100,350,3,1782829692101,mouse,150
1,2,10,100,350,4,1782829692981,mouse,150
1,2,10,100,350,5,1782829693636,mouse,150
1,2,10,100,350,6,1782829694335,mouse,150
1,2,10,100,350,7,1782829695088,mouse,150
1,2,10,100,350,8,1782829695800,mouse,150
1,2,10,100,350,9,1782829696649,mouse,150
1,2,10,100,350,10,1782829697557,mouse,150
1,2,10,50,350,1,1782829698807,mouse,150
1,2,10,50,350,2,1782829699955,mouse,150
1,2,10,50,350,3,1782829701461,mouse,150
1,2,10,50,350,4,1782829702575,mouse,150
1,2,10,50,350,5,1782829703613,mouse,150
1,2,10,50,350,6,1782829704757,mouse,150
1,2,10,50,350,7,1782829705579,mouse,150
1,2,10,50,350,8,1782829706601,mouse,150
1,2,10,50,350,9,1782829707611,mouse,150
1,2,10,50,350,10,1782829708689,mouse,150
1,2,10,100,250,1,1782829709979,mouse,150
1,2,10,100,250,2,1782829710706,mouse,150
1,2,10,100,250,3,1782829711408,mouse,150
1,2,10,100,250,4,1782829712228,mouse,150
1,2,10,100,250,5,1782829712958,mouse,150
1,2,10,100,250,6,1782829713824,mouse,150
1,2,10,100,250,7,1782829714512,mouse,150
1,2,10,100,250,8,1782829715216,mouse,150
1,2,10,100,250,9,1782829715855,mouse,150
1,2,10,100,250,10,1782829716634,mouse,150
1,2,10,150,450,1,1782829717674,mouse,150
1,2,10,150,450,2,1782829718431,mouse,150
1,2,10,150,450,3,1782829719346,mouse,150
1,2,10,150,450,4,1782829720271,mouse,150
1,2,10,150,450,5,1782829721000,mouse,150
1,2,10,150,450,6,1782829721724,mouse,150
1,2,10,150,450,7,1782829722362,mouse,150
1,2,10,150,450,8,1782829723112,mouse,150
1,2,10,150,450,9,1782829723783,mouse,150
1,2,10,150,450,10,1782829724689,mouse,150
1,2,10,150,350,1,1782829725868,mouse,150
1,2,10,150,350,2,1782829726842,mouse,150
1,2,10,150,350,3,1782829727463,mouse,150
1,2,10,150,350,4,1782829728423,mouse,150
1,2,10,150,350,5,1782829729108,mouse,150
1,2,10,150,350,6,1782829729797,mouse,150
1,2,10,150,350,7,1782829730450,mouse,150
1,2,10,150,350,8,1782829731076,mouse,150
1,2,10,150,350,9,1782829731766,mouse,150
1,2,10,150,350,10,1782829732451,mouse,150
1,2,10,50,250,1,1782829733694,mouse,150
1,2,10,50,250,2,1782829734635,mouse,150
1,2,10,50,250,3,1782829735546,mouse,150
1,2,10,50,250,4,1782829736492,mouse,150
1,2,10,50,250,5,1782829737558,mouse,150
1,2,10,50,250,6,1782829740122,mouse,150
1,2,10,50,250,7,1782829740876,mouse,150
1,2,10,50,250,8,1782829741634,mouse,150
1,2,10,50,250,9,1782829742502,mouse,150
1,2,10,50,250,10,1782829743434,mouse,150
1,2,10,50,450,1,1782829744939,mouse,150
1,2,10,50,450,2,1782829746263,mouse,150
1,2,10,50,450,3,1782829747242,mouse,150
1,2,10,50,450,4,1782829748957,mouse,150
1,2,10,50,450,5,1782829751336,mouse,150
1,2,10,50,450,6,1782829752645,mouse,150
1,2,10,50,450,7,1782829753805,mouse,150
1,2,10,50,450,8,1782829755184,mouse,150
1,2,10,50,450,9,1782829756382,mouse,150
1,2,10,50,450,10,1782829757557,mouse,150
1,2,10,100,450,1,1782829758739,mouse,150
1,2,10,100,450,2,1782829759500,mouse,150
1,2,10,100,450,3,1782829760216,mouse,150
1,2,10,100,450,4,1782829761349,mouse,150
1,2,10,100,450,5,1782829762372,mouse,150
1,2,10,100,450,6,1782829763082,mouse,150
1,2,10,100,450,7,1782829764122,mouse,150
1,2,10,100,450,8,1782829764941,mouse,150
1,2,10,100,450,9,1782829765997,mouse,150
1,2,10,100,450,10,1782829766806,mouse,150
2,2,10,50,350,1,1782829768325,mouse,150
2,2,10,50,350,2,1782829769301,mouse,150
2,2,10,50,350,3,1782829770207,mouse,150
2,2,10,50,350,4,1782829771246,mouse,150
2,2,10,50,350,5,1782829773231,mouse,150
2,2,10,50,350,6,1782829774209,mouse,150
2,2,10,50,350,7,1782829775097,mouse,150
2,2,10,50,350,8,1782829775916,mouse,150
2,2,10,50,350,9,1782829776924,mouse,150
2,2,10,50,350,10,1782829777889,mouse,150
2,2,10,50,450,1,1782829779393,mouse,150
2,2,10,50,450,2,1782829780343,mouse,150
2,2,10,50,450,3,1782829781310,mouse,150
2,2,10,50,450,4,1782829782224,mouse,150
2,2,10,50,450,5,1782829784056,mouse,150
2,2,10,50,450,6,1782829785299,mouse,150
2,2,10,50,450,7,1782829786166,mouse,150
2,2,10,50,450,8,1782829787366,mouse,150
2,2,10,50,450,9,1782829788441,mouse,150
2,2,10,50,450,10,1782829789906,mouse,150
2,2,10,100,350,1,1782829790977,mouse,150
2,2,10,100,350,2,1782829791796,mouse,150
2,2,10,100,350,3,1782829792522,mouse,150
2,2,10,100,350,4,1782829793282,mouse,150
2,2,10,100,350,5,1782829794016,mouse,150
2,2,10,100,350,6,1782829794753,mouse,150
2,2,10,100,350,7,1782829795712,mouse,150
2,2,10,100,350,8,1782829796432,mouse,150
2,2,10,100,350,9,1782829797123,mouse,150
2,2,10,100,350,10,1782829797941,mouse,150
2,2,10,150,250,1,1782829799212,mouse,150
2,2,10,150,250,2,1782829799926,mouse,150
2,2,10,150,250,3,1782829800557,mouse,150
2,2,10,150,250,4,1782829801292,mouse,150
2,2,10,150,250,5,1782829801974,mouse,150
2,2,10,150,250,6,1782829802727,mouse,150
2,2,10,150,250,7,1782829803439,mouse,150
2,2,10,150,250,8,1782829804179,mouse,150
2,2,10,150,250,9,1782829805271,mouse,150
2,2,10,150,250,10,1782829806045,mouse,150
