iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
1,3,10,100,450,1,1782826923829,touchpad,0
1,3,10,100,450,2,1782826925108,touchpad,0
1,3,10,100,450,3,1782826926413,touchpad,0
1,3,10,100,450,4,1782826927558,touchpad,0
1,3,10,100,450,5,1782826928658,touchpad,0
1,3,10,100,450,6,1782826929491,touchpad,0
1,3,10,100,450,7,1782826931630,touchpad,0
1,3,10,100,450,8,1782826932762,touchpad,0
1,3,10,100,450,9,1782826934016,touchpad,0
1,3,10,100,450,10,1782826935097,touchpad,0
1,3,10,50,450,1,1782826937009,touchpad,0
1,3,10,50,450,2,1782826938109,touchpad,0
1,3,10,50,450,3,1782826939458,touchpad,0
1,3,10,50,450,4,1782826941216,touchpad,0
1,3,10,50,450,5,1782826942497,touchpad,0
1,3,10,50,450,6,1782826944262,touchpad,0
1,3,10,50,450,7,1782826945396,touchpad,0
1,3,10,50,450,8,1782826946196,touchpad,0
1,3,10,50,450,9,1782826947448,touchpad,0
1,3,10,50,450,10,1782826948445,touchpad,0
1,3,10,100,250,1,1782826949325,touchpad,0
1,3,10,100,250,2,1782826950049,touchpad,0
1,3,10,100,250,3,1782826950776,touchpad,0
1,3,10,100,250,4,1782826951658,touchpad,0
1,3,10,100,250,5,1782826952675,touchpad,0
1,3,10,100,250,6,1782826953408,touchpad,0
1,3,10,100,250,7,1782826954364,touchpad,0
1,3,10,100,250,8,1782826955213,touchpad,0
1,3,10,100,250,9,1782826956629,touchpad,0
1,3,10,100,250,10,1782826957541,touchpad,0
1,3,10,50,250,1,1782826958442,touchpad,0
1,3,10,50,250,2,1782826959342,touchpad,0
1,3,10,50,250,3,1782826960945,touchpad,0
1,3,10,50,250,4,1782826962044,touchpad,0
1,3,10,50,250,5,1782826963562,touchpad,0
1,3,10,50,250,6,1782826964646,touchpad,0
1,3,10,50,250,7,1782826965578,touchpad,0
1,3,10,50,250,8,1782826966158,touchpad,0
1,3,10,50,250,9,1782826967008,touchpad,0
1,3,10,50,250,10,1782826968308,touchpad,0
1,3,10,100,350,1,1782826969062,touchpad,0
1,3,10,100,350,2,1782826969742,touchpad,0
1,3,10,100,350,3,1782826970579,touchpad,0
1,3,10,100,350,4,1782826971831,touchpad,0
1,3,10,100,350,5,1782826972526,touchpad,0
1,3,10,100,350,6,1782826973660,touchpad,0
1,3,10,100,350,7,1782826974541,touchpad,0
1,3,10,100,350,8,1782826975346,touchpad,0
1,3,10,100,350,9,1782826976278,touchpad,0
1,3,10,100,350,10,1782826977241,touchpad,0
1,3,10,150,450,1,1782826977975,touchpad,0
1,3,10,150,450,2,1782826978909,touchpad,0
1,3,10,150,450,3,1782826979842,touchpad,0
1,3,10,150,450,4,1782826980546,touchpad,0
1,3,10,150,450,5,1782826981275,touchpad,0
1,3,10,150,450,6,1782826982258,touchpad,0
1,3,10,150,450,7,1782826983111,touchpad,0
1,3,10,150,450,8,1782826984074,touchpad,0
1,3,10,150,450,9,1782826984778,touchpad,0
1,3,10,150,450,10,1782826985692,touchpad,0
1,3,10,150,350,1,1782826986508,touchpad,0
1,3,10,150,350,2,1782826987175,touchpad,0
1,3,10,150,350,3,1782826987863,touchpad,0
1,3,10,150,350,4,1782826988627,touchpad,0
1,3,10,150,350,5,1782826989326,touchpad,0
1,3,10,150,350,6,1782826989991,touchpad,0
1,3,10,150,350,7,1782826990641,touchpad,0
1,3,10,150,350,8,1782826991375,touchpad,0
1,3,10,150,350,9,1782826992008,touchpad,0
1,3,10,150,350,10,1782826992713,touchpad,0
1,3,10,150,250,1,1782826993491,touchpad,0
