iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
1,1,10,150,350,1,1782825554471,mouse,0
1,1,10,150,350,2,1782825555799,mouse,0
1,1,10,150,350,3,1782825557282,mouse,0
1,1,10,150,350,4,1782825558349,mouse,0
1,1,10,150,350,5,1782825559315,mouse,0
1,1,10,150,350,6,1782825560198,mouse,0
1,1,10,150,350,7,1782825560953,mouse,0
1,1,10,150,350,8,1782825561831,mouse,0
1,1,10,150,350,9,1782825562515,mouse,0
1,1,10,150,350,10,1782825563249,mouse,0
1,1,10,150,250,1,1782825564671,mouse,0
1,1,10,150,250,2,1782825565398,mouse,0
1,1,10,150,250,3,1782825566338,mouse,0
1,1,10,150,250,4,1782825567115,mouse,0
1,1,10,150,250,5,1782825567786,mouse,0
1,1,10,150,250,6,1782825568472,mouse,0
1,1,10,150,250,7,1782825569115,mouse,0
1,1,10,150,250,8,1782825569839,mouse,0
1,1,10,150,250,9,1782825570515,mouse,0
1,1,10,150,250,10,1782825571172,mouse,0
1,1,10,50,450,1,1782825572316,mouse,0
1,1,10,50,450,2,1782825573466,mouse,0
1,1,10,50,450,3,1782825574773,mouse,0
1,1,10,50,450,4,1782825576348,mouse,0
1,1,10,50,450,5,1782825578288,mouse,0
1,1,10,50,450,6,1782825579882,mouse,0
1,1,10,50,450,7,1782825580948,mouse,0
1,1,10,50,450,8,1782825582016,mouse,0
1,1,10,50,450,9,1782825582949,mouse,0
1,1,10,50,450,10,1782825583921,mouse,0
1,1,10,50,350,1,1782825584939,mouse,0
1,1,10,50,350,2,1782825585804,mouse,0
1,1,10,50,350,3,1782825586899,mouse,0
1,1,10,50,350,4,1782825587982,mouse,0
1,1,10,50,350,5,1782825588737,mouse,0
1,1,10,50,350,6,1782825589588,mouse,0
1,1,10,50,350,7,1782825590498,mouse,0
1,1,10,50,350,8,1782825591432,mouse,0
1,1,10,50,350,9,1782825592288,mouse,0
1,1,10,50,350,10,1782825593299,mouse,0
1,1,10,100,450,1,1782825594098,mouse,0
