iteration,pid,path_length,path_width,start_time,end_time,success
1,3,100,70,1782674430.299229,1782674430.299232,True
1,3,300,90,1782674431.5161479,1782674431.615894,True
1,3,200,70,1782674432.399195,1782674432.482529,True
1,3,100,90,1782674433.166414,1782674433.1824598,True
1,3,100,50,1782674433.899025,1782674433.932891,True
1,3,200,90,1782674434.515458,1782674434.5820029,True
1,3,300,70,1782674435.649751,1782674435.765516,True
1,3,300,50,1782674436.5993202,1782674436.7157152,True
1,3,200,50,1782674437.465606,1782674437.5322392,True
2,3,200,90,1782674438.300263,1782674438.366015,True
2,3,300,70,1782674439.0660381,1782674439.1669672,True
2,3,300,50,1782674439.883147,1782674439.983472,True
2,3,200,50,1782674440.699035,1782674440.752328,False
2,3,200,50,1782674441.59885,1782674441.765982,True
2,3,200,70,1782674442.549042,1782674442.615493,True
2,3,100,50,1782674443.281815,1782674443.332302,True
2,3,100,70,1782674443.9488971,1782674443.999159,True
2,3,100,90,1782674444.532943,1782674444.632886,True
2,3,300,90,1782674444.982156,1782674445.0828211,True
