iteration,pid,path_length,path_width,start_time,end_time,success,input_method,latency
1,3,1000,90,1782829239809,1782829242255,True,mouse,150
1,3,800,35,1782829245037,1782829250399,True,mouse,150
1,3,1000,70,1782829252775,1782829255242,True,mouse,150
1,3,800,90,1782829257115,1782829258915,True,mouse,150
1,3,1000,35,1782829261358,1782829267703,True,mouse,150
1,3,500,90,1782829269945,1782829270570,True,mouse,150
1,3,500,35,1782829272563,1782829275185,True,mouse,150
1,3,500,70,1782829277005,1782829278157,True,mouse,150
1,3,800,70,1782829280309,1782829282456,True,mouse,150
2,3,1000,90,1782829284401,1782829285915,True,mouse,150
2,3,500,90,1782829288161,1782829289164,True,mouse,150
2,3,500,35,1782829290680,1782829293069,True,mouse,150
2,3,800,90,1782829295219,1782829296086,True,mouse,150
2,3,1000,35,1782829298073,1782829298593,False,mouse,150
2,3,1000,35,1782829298799,1782829299500,False,mouse,150
2,3,1000,35,1782829300811,1782829304227,True,mouse,150
2,3,800,70,1782829305969,1782829306539,False,mouse,150
2,3,800,70,1782829309732,1782829311536,True,mouse,150
2,3,1000,70,1782829313804,1782829316036,False,mouse,150
2,3,1000,70,1782829318517,1782829321326,True,mouse,150
2,3,800,35,1782829324299,1782829327727,True,mouse,150
2,3,500,70,1782829329459,1782829330770,True,mouse,150
3,3,800,35,1782829332720,1782829335875,True,mouse,150
3,3,1000,70,1782829337664,1782829339540,False,mouse,150
3,3,1000,70,1782829342880,1782829345186,True,mouse,150
3,3,1000,35,1782829347537,1782829351638,True,mouse,150
3,3,800,70,1782829353331,1782829354270,False,mouse,150
3,3,800,70,1782829356564,1782829358629,True,mouse,150
3,3,1000,90,1782829360410,1782829362956,True,mouse,150
3,3,800,90,1782829364587,1782829366170,True,mouse,150
3,3,500,35,1782829369077,1782829371547,True,mouse,150
3,3,500,90,1782829373084,1782829373963,True,mouse,150
3,3,500,70,1782829375897,1782829377808,True,mouse,150
