iteration,pid,path_length,path_width,start_time,end_time,success
1,1,300,50,1782641522.11713,1782641522.884098,True
1,1,200,90,1782641524.600724,1782641524.950628,True
1,1,100,70,1782641526.467253,1782641526.6006012,True
1,1,300,70,1782641528.050685,1782641528.600536,True
1,1,100,90,1782641530.250958,1782641530.450542,True
1,1,200,50,1782641531.967445,1782641532.250696,True
1,1,100,50,1782641533.800616,1782641533.933939,True
1,1,200,70,1782641535.4168801,1782641535.683481,True
1,1,300,90,1782641537.2333708,1782641537.650174,True
2,1,300,50,1782641539.300265,1782641539.783424,True
2,1,300,70,1782641544.4999418,1782641545.017117,True
2,1,100,70,1782641546.666773,1782641546.883602,True
2,1,200,50,1782641548.6666298,1782641549.016922,True
2,1,100,90,1782641550.6001852,1782641550.81693,True
2,1,200,70,1782641552.416944,1782641552.799894,True
2,1,200,90,1782641554.449801,1782641554.799787,True
2,1,300,90,1782641556.383533,1782641556.9333818,True
2,1,100,50,1782641561.0812721,1782641561.297576,True
