iteration,pid,path_length,path_width,start_time,end_time,success
1,1,300,50,1782641753.957581,1782641754.274202,True
1,1,100,50,1782641754.9577332,1782641755.024439,True
1,1,200,90,1782641755.857574,1782641755.94118,True
1,1,200,50,1782641756.7236888,1782641756.741822,False
1,1,200,50,1782641757.807706,1782641757.973818,True
1,1,200,70,1782641758.7905788,1782641758.9068532,True
1,1,100,70,1782641759.6739159,1782641759.740662,True
1,1,300,90,1782641760.543138,1782641760.676378,True
1,1,100,90,1782641761.46323,1782641761.496532,True
1,1,300,70,1782641762.41311,1782641762.530365,True
2,1,100,50,1782641763.4299579,1782641763.52991,True
2,1,200,90,1782641764.33038,1782641765.013223,True
2,1,300,50,1782641765.8965461,1782641766.013338,True
2,1,300,90,1782641766.879565,1782641767.012867,True
2,1,300,70,1782641767.846681,1782641767.947048,True
2,1,200,70,1782641768.847048,1782641768.9297879,True
2,1,200,50,1782641769.930579,1782641770.14719,True
2,1,100,70,1782641770.980139,1782641771.130174,True
2,1,100,90,1782641772.430208,1782641772.4633942,True
