iteration,pid,path_length,path_width,start_time,end_time,success,input_method,latency
1,3,500,70,1782828948827,1782828950065,True,touchpad,0
1,3,500,35,1782828951240,1782828954032,True,touchpad,0
1,3,800,70,1782828955371,1782828955515,False,touchpad,0
1,3,800,70,1782828956805,1782828959375,True,touchpad,0
1,3,800,90,1782828960810,1782828962476,True,touchpad,0
1,3,1000,90,1782828964209,1782828965141,False,touchpad,0
1,3,1000,90,1782828967083,1782828969156,True,touchpad,0
1,3,500,90,1782828970541,1782828971228,True,touchpad,0
1,3,800,35,1782828972500,1782828978167,True,touchpad,0
1,3,1000,35,1782828979615,1782828985518,True,touchpad,0
1,3,1000,70,1782828987195,1782828988983,True,touchpad,0
2,3,1000,35,1782828990829,1782828995648,True,touchpad,0
2,3,500,90,1782828996823,1782828998076,True,touchpad,0
2,3,800,90,1782828999183,1782829000739,True,touchpad,0
2,3,1000,70,1782829001912,1782829004066,True,touchpad,0
2,3,1000,90,1782829005934,1782829007824,True,touchpad,0
2,3,800,35,1782829009688,1782829013498,True,touchpad,0
2,3,800,70,1782829015158,1782829016373,True,touchpad,0
2,3,500,35,1782829017506,1782829020363,True,touchpad,0
2,3,500,70,1782829021445,1782829022219,True,touchpad,0
3,3,500,90,1782829023287,1782829024188,True,touchpad,0
3,3,1000,70,1782829025289,1782829027262,True,touchpad,0
3,3,800,35,1782829029045,1782829032111,True,touchpad,0
3,3,500,35,1782829034015,1782829034921,False,touchpad,0
3,3,500,35,1782829036225,1782829038691,True,touchpad,0
3,3,500,70,1782829039600,1782829040391,True,touchpad,0
3,3,1000,35,1782829042062,1782829045891,True,touchpad,0
3,3,800,90,1782829047138,1782829048134,True,touchpad,0
3,3,1000,90,1782829049607,1782829051454,True,touchpad,0
3,3,800,70,1782829052613,1782829054490,True,touchpad,0
