iteration,pid,path_length,path_width,start_time,end_time,success,input_method,latency
1,1,1000,70,1782828592610,1782828594477,True,mouse,0
1,1,1000,35,1782828596111,1782828598461,True,mouse,0
1,1,500,35,1782828600277,1782828602211,True,mouse,0
1,1,800,35,1782828603627,1782828607127,True,mouse,0
1,1,1000,90,1782828609128,1782828610344,True,mouse,0
1,1,500,70,1782828611627,1782828612627,True,mouse,0
1,1,800,70,1782828614112,1782828615111,True,mouse,0
1,1,500,90,1782828616377,1782828616761,True,mouse,0
1,1,800,90,1782828618128,1782828618994,True,mouse,0
2,1,800,35,1782828620278,1782828621064,False,mouse,0
2,1,800,35,1782828623393,1782828625694,False,mouse,0
2,1,800,35,1782828627777,1782828630560,True,mouse,0
2,1,800,90,1782828631928,1782828632194,False,mouse,0
2,1,800,90,1782828633477,1782828634360,True,mouse,0
2,1,500,70,1782828635861,1782828637043,True,mouse,0
2,1,1000,35,1782828639977,1782828641494,False,mouse,0
2,1,1000,35,1782828643209,1782828648399,True,mouse,0
2,1,1000,70,1782828650127,1782828651744,True,mouse,0
2,1,1000,90,1782828653078,1782828653994,True,mouse,0
2,1,500,35,1782828655628,1782828658044,True,mouse,0
2,1,500,90,1782828659194,1782828659877,True,mouse,0
2,1,800,70,1782828662477,1782828663994,True,mouse,0
3,1,800,70,1782828665643,1782828667777,True,mouse,0
3,1,500,35,1782828669660,1782828671811,True,mouse,0
3,1,500,90,1782828673493,1782828674643,True,mouse,0
3,1,800,35,1782828676177,1782828679460,True,mouse,0
3,1,500,70,1782828681094,1782828682944,True,mouse,0
3,1,1000,35,1782828686743,1782828690959,True,mouse,0
3,1,1000,70,1782828692594,1782828693810,True,mouse,0
3,1,800,90,1782828695278,1782828696026,True,mouse,0
3,1,1000,90,1782828697727,1782828698776,True,mouse,0
