iteration,pid,path_length,path_width,start_time,end_time,success,input_method,latency
1,1,1000,70,1782828910203,1782828913303,True,pose,0
1,1,800,90,1782828916653,1782828918186,True,pose,0
1,1,800,70,1782828921152,1782828923287,True,pose,0
1,1,1000,90,1782828926119,1782828927819,True,pose,0
1,1,500,70,1782828930986,1782828931470,False,pose,0
1,1,500,70,1782828934586,1782828936202,True,pose,0
1,1,500,90,1782828939086,1782828940053,True,pose,0
1,1,500,35,1782828943286,1782828944536,False,pose,0
1,1,500,35,1782828950520,1782828952969,True,pose,0
1,1,800,35,1782828957069,1782828959753,False,pose,0
1,1,800,35,1782828964019,1782828967119,False,pose,0
1,1,800,35,1782828971736,1782828978002,True,pose,0
1,1,1000,35,1782828981652,1782828987019,True,pose,0
2,1,800,70,1782828990235,1782828992286,True,pose,0
2,1,1000,35,1782828995702,1782828999419,False,pose,0
2,1,1000,35,1782829002935,1782829005819,False,pose,0
2,1,1000,35,1782829009469,1782829013952,True,pose,0
2,1,500,90,1782829016702,1782829017403,True,pose,0
2,1,800,90,1782829019952,1782829021385,True,pose,0
2,1,500,35,1782829024768,1782829026418,True,pose,0
2,1,800,35,1782829029652,1782829031719,False,pose,0
2,1,800,35,1782829034818,1782829036835,True,pose,0
2,1,1000,90,1782829039501,1782829041085,False,pose,0
2,1,1000,90,1782829044185,1782829045985,True,pose,0
2,1,1000,70,1782829049351,1782829052119,True,pose,0
2,1,500,70,1782829055002,1782829055935,True,pose,0
3,1,1000,70,1782829058968,1782829061235,True,pose,0
3,1,500,90,1782829064135,1782829064951,True,pose,0
3,1,800,35,1782829069284,1782829072468,False,pose,0
3,1,800,35,1782829076255,1782829077151,False,pose,0
3,1,800,35,1782829080868,1782829083618,False,pose,0
3,1,800,35,1782829087751,1782829088368,False,pose,0
3,1,800,35,1782829090201,1782829090501,False,pose,0
3,1,800,35,1782829090568,1782829090635,False,pose,0
3,1,800,35,1782829091468,1782829094768,False,pose,0
3,1,800,35,1782829100151,1782829104001,True,pose,0
3,1,800,90,1782829106617,1782829106685,False,pose,0
3,1,800,90,1782829111718,1782829112951,False,pose,0
3,1,800,90,1782829117635,1782829118751,True,pose,0
3,1,1000,35,1782829123434,1782829127051,True,pose,0
3,1,500,35,1782829131584,1782829133034,False,pose,0
3,1,500,35,1782829136484,1782829137517,False,pose,0
3,1,500,35,1782829141235,1782829143401,True,pose,0
3,1,1000,90,1782829146434,1782829148333,True,pose,0
3,1,800,70,1782829151244,1782829152627,True,pose,0
3,1,500,70,1782829155761,1782829156727,True,pose,0
