iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,1,10,100,250,1,1782642715047
1,1,10,100,250,2,1782642715630
1,1,10,100,250,3,1782642716197
1,1,10,100,250,4,1782642716769
1,1,10,100,250,5,1782642717497
1,1,10,100,250,6,1782642718013
1,1,10,100,250,7,1782642718547
1,1,10,100,250,8,1782642719201
1,1,10,100,250,9,1782642720336
1,1,10,100,250,10,1782642720917
1,1,10,150,350,1,1782642721380
1,1,10,150,350,2,1782642721801
1,1,10,150,350,3,1782642722234
1,1,10,150,350,4,1782642722680
1,1,10,150,350,5,1782642723097
1,1,10,150,350,6,1782642723563
1,1,10,150,350,7,1782642723967
1,1,10,150,350,8,1782642724617
1,1,10,150,350,9,1782642725063
1,1,10,150,350,10,1782642725597
1,1,10,150,450,1,1782642726017
1,1,10,150,450,2,1782642726447
1,1,10,150,450,3,1782642726868
1,1,10,150,450,4,1782642727351
1,1,10,150,450,5,1782642727967
1,1,10,150,450,6,1782642728563
1,1,10,150,450,7,1782642728997
1,1,10,150,450,8,1782642729550
1,1,10,150,450,9,1782642730085
1,1,10,150,450,10,1782642731013
1,1,10,100,450,1,1782642731480
1,1,10,100,450,2,1782642732050
1,1,10,100,450,3,1782642732646
1,1,10,100,450,4,1782642733300
1,1,10,100,450,5,1782642733801
1,1,10,100,450,6,1782642734350
1,1,10,100,450,7,1782642734951
1,1,10,100,450,8,1782642735650
1,1,10,100,450,9,1782642736163
1,1,10,100,450,10,1782642736717
1,1,10,100,350,1,1782642737163
1,1,10,100,350,2,1782642737801
1,1,10,100,350,3,1782642738251
1,1,10,100,350,4,1782642739067
1,1,10,100,350,5,1782642739550
1,1,10,100,350,6,1782642740000
1,1,10,100,350,7,1782642740813
1,1,10,100,350,8,1782642741280
1,1,10,100,350,9,1782642741779
1,1,10,100,350,10,1782642742251
1,1,10,50,450,1,1782642742951
1,1,10,50,450,2,1782642743634
1,1,10,50,450,3,1782642744435
1,1,10,50,450,4,1782642745117
1,1,10,50,450,5,1782642745786
1,1,10,50,450,6,1782642746518
1,1,10,50,450,7,1782642748096
1,1,10,50,450,8,1782642749051
1,1,10,50,450,9,1782642749851
1,1,10,50,450,10,1782642750796
1,1,10,50,250,1,1782642751550
1,1,10,50,250,2,1782642752283
1,1,10,50,250,3,1782642753251
1,1,10,50,250,4,1782642754050
1,1,10,50,250,5,1782642755129
1,1,10,50,250,6,1782642755935
1,1,10,50,250,7,1782642756567
1,1,10,50,250,8,1782642757367
1,1,10,50,250,9,1782642758067
1,1,10,50,250,10,1782642759029
1,1,10,50,350,1,1782642759733
1,1,10,50,350,2,1782642760367
1,1,10,50,350,3,1782642761219
1,1,10,50,350,4,1782642762151
1,1,10,50,350,5,1782642763196
1,1,10,50,350,6,1782642763812
1,1,10,50,350,7,1782642764396
1,1,10,50,350,8,1782642765250
1,1,10,50,350,9,1782642766446
1,1,10,50,350,10,1782642767446
1,1,10,150,250,1,1782642768329
1,1,10,150,250,2,1782642768929
1,1,10,150,250,3,1782642769362
1,1,10,150,250,4,1782642769812
1,1,10,150,250,5,1782642770196
1,1,10,150,250,6,1782642770896
1,1,10,150,250,7,1782642771679
1,1,10,150,250,8,1782642772183
1,1,10,150,250,9,1782642772650
1,1,10,150,250,10,1782642773151
2,1,10,50,450,1,1782642774267
2,1,10,50,450,2,1782642775062
2,1,10,50,450,3,1782642776212
2,1,10,50,450,4,1782642777283
2,1,10,50,450,5,1782642778299
2,1,10,50,450,6,1782642779246
2,1,10,50,450,7,1782642781512
2,1,10,50,450,8,1782642782429
2,1,10,50,450,9,1782642783983
2,1,10,50,450,10,1782642784800
2,1,10,50,250,1,1782642785396
2,1,10,50,250,2,1782642786012
2,1,10,50,250,3,1782642786566
2,1,10,50,250,4,1782642787501
2,1,10,50,250,5,1782642788316
2,1,10,50,250,6,1782642789016
2,1,10,50,250,7,1782642789666
2,1,10,50,250,8,1782642790167
2,1,10,50,250,9,1782642791034
2,1,10,50,250,10,1782642791795
2,1,10,100,250,1,1782642792315
2,1,10,100,250,2,1782642792783
2,1,10,100,250,3,1782642793266
2,1,10,100,250,4,1782642793699
2,1,10,100,250,5,1782642794278
