iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,1,10,150,250,1,1782640134152
1,1,10,150,250,2,1782640136699
1,1,10,150,250,3,1782640138349
1,1,10,150,250,4,1782640139866
1,1,10,150,250,5,1782640141800
1,1,10,150,250,6,1782640143100
1,1,10,150,250,7,1782640144549
1,1,10,150,250,8,1782640145999
1,1,10,150,250,9,1782640147549
1,1,10,150,250,10,1782640149444
1,1,10,50,450,1,1782640151102
1,1,10,50,450,2,1782640153094
1,1,10,50,450,3,1782640156094
1,1,10,50,450,4,1782640158370
1,1,10,50,450,5,1782640161798
1,1,10,50,450,6,1782640164731
1,1,10,50,450,7,1782640167798
1,1,10,50,450,8,1782640173299
1,1,10,50,450,9,1782640175264
1,1,10,50,450,10,1782640177199
1,1,10,100,350,1,1782640178577
1,1,10,100,350,2,1782640179982
1,1,10,100,350,3,1782640183194
1,1,10,100,350,4,1782640185181
1,1,10,100,350,5,1782640187360
1,1,10,100,350,6,1782640189427
1,1,10,100,350,7,1782640191527
1,1,10,100,350,8,1782640193768
1,1,10,100,350,9,1782640195727
1,1,10,100,350,10,1782640197277
1,1,10,100,450,1,1782640198827
1,1,10,100,450,2,1782640200266
1,1,10,100,450,3,1782640201648
1,1,10,100,450,4,1782640204026
1,1,10,100,450,5,1782640205643
1,1,10,100,450,6,1782640207782
1,1,10,100,450,7,1782640209743
1,1,10,100,450,8,1782640210917
1,1,10,100,450,9,1782640212631
1,1,10,100,450,10,1782640214081
1,1,10,50,250,1,1782640215247
1,1,10,50,250,2,1782640216631
1,1,10,50,250,3,1782640220765
1,1,10,50,250,4,1782640222930
1,1,10,50,250,5,1782640227926
1,1,10,50,250,6,1782640236397
1,1,10,50,250,7,1782640237981
1,1,10,50,250,8,1782640239426
1,1,10,50,250,9,1782640241009
1,1,10,50,250,10,1782640242598
1,1,10,100,250,1,1782640244413
1,1,10,100,250,2,1782640246547
1,1,10,100,250,3,1782640247931
1,1,10,100,250,4,1782640249647
1,1,10,100,250,5,1782640251030
1,1,10,100,250,6,1782640252746
1,1,10,100,250,7,1782640254330
1,1,10,100,250,8,1782640255914
1,1,10,100,250,9,1782640257430
1,1,10,100,250,10,1782640259842
1,1,10,150,450,1,1782640262880
1,1,10,150,450,2,1782640264359
1,1,10,150,450,3,1782640268115
1,1,10,150,450,4,1782640270699
1,1,10,150,450,5,1782640273249
1,1,10,150,450,6,1782640276030
1,1,10,150,450,7,1782640278063
1,1,10,150,450,8,1782640279549
1,1,10,150,450,9,1782640281263
1,1,10,150,450,10,1782640283363
1,1,10,50,350,1,1782640284912
1,1,10,50,350,2,1782640288842
1,1,10,50,350,3,1782640293179
1,1,10,50,350,4,1782640295041
1,1,10,50,350,5,1782640297546
1,1,10,50,350,6,1782640299478
1,1,10,50,350,7,1782640304778
1,1,10,50,350,8,1782640306924
1,1,10,50,350,9,1782640310462
1,1,10,50,350,10,1782640312641
1,1,10,150,350,1,1782640313595
1,1,10,150,350,2,1782640315324
1,1,10,150,350,3,1782640316981
1,1,10,150,350,4,1782640318762
1,1,10,150,350,5,1782640322378
1,1,10,150,350,6,1782640323830
1,1,10,150,350,7,1782640325140
1,1,10,150,350,8,1782640326274
1,1,10,150,350,9,1782640327379
1,1,10,150,350,10,1782640328340
2,1,10,50,350,1,1782640331645
2,1,10,50,350,2,1782640333361
2,1,10,50,350,3,1782640336012
2,1,10,50,350,4,1782640338011
2,1,10,50,350,5,1782640339594
2,1,10,50,350,6,1782640341290
2,1,10,50,350,7,1782640343245
2,1,10,50,350,8,1782640345178
2,1,10,50,350,9,1782640346490
2,1,10,50,350,10,1782640348623
2,1,10,150,350,1,1782640349728
2,1,10,150,350,2,1782640352756
2,1,10,150,350,3,1782640353929
2,1,10,150,350,4,1782640355512
2,1,10,150,350,5,1782640357127
2,1,10,150,350,6,1782640358573
2,1,10,150,350,7,1782640361606
2,1,10,150,350,8,1782640362945
