iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,3,10,150,250,1,1782673848056
1,3,10,150,250,2,1782673849005
1,3,10,150,250,3,1782673849822
1,3,10,150,250,4,1782673850622
1,3,10,150,250,5,1782673851489
1,3,10,150,250,6,1782673852322
1,3,10,150,250,7,1782673853105
1,3,10,150,250,8,1782673853922
1,3,10,150,250,9,1782673854772
1,3,10,150,250,10,1782673855572
1,3,10,100,450,1,1782673856572
1,3,10,100,450,2,1782673857772
1,3,10,100,450,3,1782673858689
1,3,10,100,450,4,1782673859705
1,3,10,100,450,5,1782673860539
1,3,10,100,450,6,1782673861372
1,3,10,100,450,7,1782673862589
1,3,10,100,450,8,1782673863538
1,3,10,100,450,9,1782673864605
1,3,10,100,450,10,1782673865438
1,3,10,150,450,1,1782673866272
1,3,10,150,450,2,1782673867122
1,3,10,150,450,3,1782673867872
1,3,10,150,450,4,1782673868722
1,3,10,150,450,5,1782673869488
1,3,10,150,450,6,1782673870305
1,3,10,150,450,7,1782673871138
1,3,10,150,450,8,1782673871972
1,3,10,150,450,9,1782673872771
1,3,10,150,450,10,1782673873638
1,3,10,50,350,1,1782673874838
1,3,10,50,350,2,1782673875921
1,3,10,50,350,3,1782673876877
1,3,10,50,350,4,1782673877788
1,3,10,50,350,5,1782673878727
1,3,10,50,350,6,1782673879704
1,3,10,50,350,7,1782673881911
1,3,10,50,350,8,1782673883005
1,3,10,50,350,9,1782673884188
1,3,10,50,350,10,1782673885105
1,3,10,50,250,1,1782673886055
1,3,10,50,250,2,1782673886955
1,3,10,50,250,3,1782673887988
1,3,10,50,250,4,1782673888855
1,3,10,50,250,5,1782673889904
1,3,10,50,250,6,1782673890838
1,3,10,50,250,7,1782673891771
1,3,10,50,250,8,1782673892671
1,3,10,50,250,9,1782673893694
1,3,10,50,250,10,1782673894587
1,3,10,100,350,1,1782673895338
1,3,10,100,350,2,1782673896504
1,3,10,100,350,3,1782673897338
1,3,10,100,350,4,1782673898121
1,3,10,100,350,5,1782673899227
1,3,10,100,350,6,1782673899954
1,3,10,100,350,7,1782673900721
1,3,10,100,350,8,1782673901738
1,3,10,100,350,9,1782673902654
1,3,10,100,350,10,1782673903471
1,3,10,150,350,1,1782673904187
1,3,10,150,350,2,1782673904871
1,3,10,150,350,3,1782673905554
1,3,10,150,350,4,1782673906621
1,3,10,150,350,5,1782673907354
1,3,10,150,350,6,1782673908054
1,3,10,150,350,7,1782673908787
1,3,10,150,350,8,1782673909587
1,3,10,150,350,9,1782673910487
1,3,10,150,350,10,1782673911271
1,3,10,100,250,1,1782673912021
1,3,10,100,250,2,1782673913020
1,3,10,100,250,3,1782673913721
1,3,10,100,250,4,1782673914521
1,3,10,100,250,5,1782673915237
1,3,10,100,250,6,1782673915954
1,3,10,100,250,7,1782673916854
1,3,10,100,250,8,1782673917654
1,3,10,100,250,9,1782673918537
1,3,10,100,250,10,1782673919221
1,3,10,50,450,1,1782673920221
1,3,10,50,450,2,1782673921177
1,3,10,50,450,3,1782673922237
1,3,10,50,450,4,1782673923337
1,3,10,50,450,5,1782673924621
1,3,10,50,450,6,1782673925587
1,3,10,50,450,7,1782673926959
1,3,10,50,450,8,1782673928121
