iteration,pid,path_length,path_width,start_time,end_time,success
1,1,100,50,1782641676.1687071,1782641676.385631,True
1,1,100,90,1782641677.152232,1782641677.218666,True
1,1,300,50,1782641678.086266,1782641678.435607,True
1,1,300,90,1782641679.2025301,1782641679.385329,True
1,1,200,50,1782641680.186369,1782641680.3197591,False
1,1,200,50,1782641681.235965,1782641681.536065,True
1,1,200,70,1782641682.401927,1782641682.502491,True
1,1,200,90,1782641683.336229,1782641683.436138,True
1,1,300,70,1782641684.2358458,1782641684.368799,True
1,1,100,70,1782641685.202442,1782641685.286102,True
2,1,300,90,1782641686.202469,1782641686.569664,True
2,1,300,50,1782641687.55228,1782641687.88541,True
2,1,200,50,1782641688.669007,1782641688.8848472,True
2,1,200,90,1782641689.7021482,1782641689.9021661,True
2,1,200,70,1782641690.7187378,1782641690.935764,True
2,1,300,70,1782641691.851819,1782641692.0356932,False
2,1,300,70,1782641692.985733,1782641693.002919,False
2,1,300,70,1782641693.185992,1782641693.5354738,True
2,1,100,50,1782641694.485695,1782641694.602262,True
2,1,100,70,1782641695.434894,1782641695.5522492,True
2,1,100,90,1782641696.33593,1782641696.435036,True
