iteration,pid,path_length,path_width,start_time,end_time,success
1,1,100,70,1782641446.565272,1782641447.048213,True
1,1,200,70,1782641448.9484391,1782641449.565496,True
1,1,200,90,1782641451.4985669,1782641451.981544,True
1,1,300,70,1782641453.864822,1782641454.631959,True
1,1,100,90,1782641456.4815848,1782641456.6982038,True
1,1,200,50,1782641458.514956,1782641458.9315588,True
1,1,100,50,1782641460.681582,1782641461.131194,True
1,1,300,90,1782641463.3312352,1782641463.8816488,True
1,1,300,50,1782641465.7812412,1782641466.397869,True
2,1,200,70,1782641468.614846,1782641469.014456,True
2,1,200,90,1782641471.014456,1782641471.564415,True
2,1,200,50,1782641473.4314182,1782641473.831234,True
2,1,100,50,1782641475.730859,1782641476.014344,True
2,1,300,90,1782641477.981044,1782641478.6644979,True
2,1,100,90,1782641480.447545,1782641480.930845,True
2,1,300,50,1782641482.9310908,1782641483.5481899,True
2,1,300,70,1782641486.647424,1782641487.130817,True
2,1,100,70,1782641489.164387,1782641489.380985,True
