iteration,pid,path_length,path_width,start_time,end_time,success
1,1,100,50,1782641625.525981,1782641625.742667,True
1,1,200,90,1782641626.642943,1782641626.776294,True
1,1,200,70,1782641627.559523,1782641627.6595058,True
1,1,200,50,1782641628.50968,1782641628.6593301,True
1,1,100,70,1782641629.476623,1782641629.543326,True
1,1,300,50,1782641630.459937,1782641630.6597629,True
1,1,300,70,1782641631.5091908,1782641631.54385,False
1,1,300,70,1782641632.67654,1782641632.8429198,True
1,1,100,90,1782641633.625921,1782641633.74277,True
1,1,300,90,1782641635.69348,1782641635.7930748,True
2,1,300,50,1782641636.792691,1782641637.225889,True
2,1,200,70,1782641637.99339,1782641638.076378,True
2,1,100,90,1782641638.8255968,1782641638.859154,True
2,1,300,90,1782641639.6424792,1782641639.7592099,True
2,1,200,90,1782641640.576944,1782641640.676623,True
2,1,100,70,1782641641.408981,1782641641.510296,False
2,1,100,70,1782641642.226832,1782641642.326315,True
2,1,100,50,1782641643.093505,1782641643.19369,False
2,1,100,50,1782641644.226899,1782641644.292674,True
2,1,200,50,1782641645.2758038,1782641645.4436219,True
2,1,300,70,1782641646.508954,1782641646.6091561,True
